id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,speed,sim,f_camera,camera,memory,screen,wifi,price
92,885,0.4,103,769,802,1410,16,10,5,No,4,high,Dual,,,15342,Touch,b,784.75
93,879,0.7,83,403,1105,349,16,10,2,Yes,4,high,Single,11.0,15.0,14665,LCD,b,643.56
94,1322,0.8,140,177,1990,1418,19,17,12,No,2,medium,Dual,6.0,9.0,7185,Touch,none,600.61
95,1137,1.0,196,942,1179,3616,13,5,12,Yes,3,medium,Single,18.0,19.0,7230,Touch,g,913.34
96,1355,0.2,132,651,891,880,19,4,8,No,4,high,Single,10.0,16.0,23774,Touch,none,661.15
97,1665,0.2,194,1572,1684,1601,18,17,14,Yes,4,low,Single,3.0,18.0,60218,LCD,none,1001.5
98,657,0.7,141,476,961,1412,14,3,18,No,2,high,Single,,1.0,37724,Touch,none,542.08
99,593,0.4,156,1233,1317,1692,6,2,7,No,3,low,Single,6.0,7.0,31449,LCD,none,783.87
100,1883,0.3,146,836,1739,2600,16,8,20,Yes,4,low,Single,3.0,13.0,10654,LCD,none,922.02
101,1732,0.8,119,824,881,1308,16,7,11,Yes,4,medium,Single,4.0,9.0,12194,LCD,g,888.45
102,543,0.7,192,391,984,2413,17,14,15,No,3,low,Single,,4.0,57476,LCD,none,727.67
103,1939,0.6,199,320,520,1047,14,10,18,Yes,4,high,Dual,,10.0,55103,Touch,none,1011.54
104,553,0.5,121,325,902,1204,11,4,8,No,4,high,Dual,1.0,3.0,8766,Touch,g,778.71
105,832,0.7,103,125,1504,1799,5,2,11,No,4,low,Dual,2.0,3.0,39308,LCD,b,701.8
106,1661,1.0,172,846,1634,2676,12,6,11,No,2,medium,Dual,5.0,10.0,23256,Touch,a,851.2
107,1657,0.1,198,1770,1796,2597,18,1,14,Yes,3,high,Single,3.0,16.0,42733,LCD,none,1274.25
108,1135,0.3,83,293,1846,3029,19,17,9,Yes,3,medium,Dual,,4.0,46810,Touch,a,946.57
109,1775,0.1,163,1633,1869,2343,19,13,14,Yes,3,medium,Single,3.0,7.0,41710,Touch,a,1256.75
110,783,1.0,106,1198,1471,2016,16,4,18,No,4,medium,Dual,,4.0,43806,Touch,none,774.23
111,617,0.5,199,768,874,2213,18,13,7,Yes,2,high,Single,,20.0,32874,LCD,none,361.28
112,867,0.7,135,70,1974,790,13,6,3,No,4,medium,Dual,,1.0,4532,Touch,none,600.57
113,1310,1.0,194,117,513,3182,8,4,5,Yes,3,medium,Dual,13.0,14.0,7201,Touch,none,964.72
114,1804,0.6,153,1158,1244,3472,9,1,20,No,4,low,Single,9.0,19.0,23008,LCD,g,819.6
115,1900,0.2,89,1055,1661,2871,12,1,13,Yes,4,high,Single,1.0,9.0,18428,Touch,g,1301.19
116,909,0.3,82,635,973,3187,12,9,4,Yes,3,medium,Single,,,53320,LCD,none,845.76
117,1084,0.9,107,322,771,1945,15,4,10,Yes,4,high,Single,3.0,11.0,40681,Touch,none,870.96
118,1308,0.9,199,275,989,488,5,3,9,No,2,medium,Dual,8.0,12.0,46531,Touch,none,402.47
119,1778,0.5,102,1445,1954,1214,5,0,14,No,3,low,Single,,,15405,LCD,none,733.95
120,1701,0.3,194,550,1338,2598,12,9,6,Yes,2,medium,Dual,3.0,7.0,10573,Touch,none,1083.34
121,772,0.5,80,1242,1712,3242,18,11,4,Yes,4,high,Dual,1.0,2.0,10222,Touch,none,1344.31
122,825,0.9,130,597,863,3534,10,4,6,Yes,2,low,Dual,7.0,10.0,52399,Touch,none,680.69
123,1379,0.8,200,538,1376,3426,5,4,17,No,4,medium,Single,5.0,7.0,36057,Touch,n,902.56
124,1166,0.8,198,59,1203,2488,13,5,15,No,4,medium,Single,3.0,4.0,25484,LCD,none,1081.24
125,1659,0.6,89,819,902,3255,19,14,9,No,2,high,Single,5.0,20.0,16825,LCD,n,1043.27
126,826,0.3,88,179,786,2863,9,3,18,Yes,4,high,Dual,,1.0,58632,LCD,g,930.13
127,1564,0.5,189,1259,1965,1496,6,4,7,No,4,high,Single,4.0,17.0,25626,Touch,g,1239.48
128,1957,0.6,181,396,1732,3801,12,0,7,No,3,low,Dual,11.0,16.0,31318,LCD,a,1204.89
129,1571,0.1,100,713,1398,666,12,10,13,No,4,medium,Single,,1.0,19188,Touch,none,967.99
130,1414,0.8,99,262,829,3799,17,7,7,No,3,medium,Dual,2.0,3.0,54772,LCD,b,1155.11
131,1790,0.1,184,622,792,1366,7,0,20,No,3,high,Dual,9.0,14.0,2928,Touch,b,657.06
132,645,1.0,197,327,580,2962,12,9,4,No,3,low,Single,1.0,10.0,41219,Touch,g,1072.43
133,668,0.2,195,522,1056,2399,10,5,7,No,3,high,Dual,7.0,12.0,30320,Touch,g,798.59
134,1652,0.7,89,313,1264,2338,12,8,20,Yes,2,medium,Dual,1.0,5.0,36521,LCD,none,739.14
135,1213,0.5,108,226,1248,2700,12,3,9,Yes,2,low,Single,,,16583,LCD,b,758.16
136,1272,0.9,133,605,669,2235,19,4,4,Yes,3,high,Dual,,8.0,22620,LCD,none,757.3
137,866,0.5,179,692,1686,3825,12,11,2,No,4,low,Dual,5.0,7.0,46240,Touch,n,929.83
138,536,0.3,182,1386,1539,284,12,9,4,No,4,high,Dual,12.0,14.0,3704,Touch,none,615.72
139,523,0.1,155,304,1042,1427,9,1,9,No,2,high,Dual,1.0,2.0,14213,Touch,none,458.4
140,1753,0.1,134,1590,1926,1324,17,0,17,No,4,low,Dual,,18.0,31502,LCD,a,1165.22
141,1218,0.5,147,229,616,398,17,0,5,No,4,medium,Dual,1.0,4.0,14199,LCD,none,661.95
142,1537,0.3,137,839,1131,3685,18,17,17,Yes,4,high,Single,4.0,5.0,43909,Touch,g,1271.4
143,786,0.5,141,507,1697,2390,12,11,5,No,3,medium,Dual,,6.0,32980,LCD,a,769.54
144,1678,0.9,134,436,536,278,19,0,10,No,4,medium,Single,3.0,11.0,64540,Touch,none,539.43
145,1814,0.4,141,756,786,3556,18,12,16,No,4,medium,Dual,1.0,2.0,9735,LCD,none,1135.55
146,1101,0.2,148,387,1269,2196,12,6,19,No,2,medium,Single,,7.0,31546,Touch,b,656.38
147,1461,0.5,141,1265,1298,3799,16,1,4,No,4,high,Dual,3.0,4.0,40018,LCD,none,1243.25
148,1216,0.4,199,1852,1967,2268,13,5,4,No,2,high,Single,4.0,7.0,47249,Touch,a,916.42
149,506,0.8,159,875,1025,2965,13,10,15,No,4,medium,Single,6.0,7.0,41205,LCD,none,853.59
150,843,0.1,147,140,800,2341,10,1,20,Yes,4,low,Single,1.0,17.0,56733,Touch,n,825.78
151,742,0.2,190,577,1359,3557,16,11,12,No,2,medium,Dual,4.0,14.0,56411,Touch,g,716.73
152,1692,0.9,176,975,1996,1354,16,7,19,Yes,4,medium,Single,3.0,12.0,61321,LCD,none,914.53
153,1485,0.7,84,510,1013,2147,19,1,11,No,4,medium,Single,2.0,9.0,32410,Touch,none,852.1
154,1547,0.7,166,583,590,505,12,2,3,No,2,high,Dual,6.0,8.0,45691,Touch,a,634.15
155,1692,0.9,139,674,1925,1394,16,10,6,No,4,high,Dual,4.0,6.0,46656,Touch,none,654.45
156,637,0.8,97,1125,1989,374,18,4,8,No,4,high,Single,3.0,4.0,60453,LCD,g,829.99
157,1224,0.4,109,747,826,506,10,0,11,No,4,low,Single,16.0,18.0,6467,Touch,a,703.02
158,1356,0.5,198,1612,1983,3702,17,0,19,No,2,high,Single,,,29386,LCD,none,1249.72
159,1840,0.7,142,311,1545,1078,8,0,10,No,2,low,Dual,12.0,16.0,34495,LCD,none,766.19
160,1481,0.6,96,116,1533,2945,10,5,16,Yes,4,low,Dual,4.0,13.0,36580,Touch,n,1103.32
161,961,0.3,152,554,621,2981,15,6,7,Yes,3,medium,Dual,10.0,16.0,51442,Touch,b,680.8
162,1296,0.5,124,811,1272,490,7,1,4,No,4,low,Dual,,3.0,14396,Touch,b,641.04
163,1193,0.5,166,730,1729,536,17,14,4,No,3,low,Single,11.0,20.0,26795,LCD,b,745.87
164,1441,0.1,118,577,1071,2317,16,4,7,No,4,medium,Dual,11.0,17.0,3276,LCD,g,999.03
165,517,0.8,183,660,974,3704,17,16,11,No,4,medium,Dual,3.0,8.0,34196,LCD,n,1010.86
166,748,0.9,150,450,1554,2126,18,9,7,Yes,4,medium,Single,,4.0,27481,LCD,none,885.24
167,1126,0.4,160,1223,1611,2050,7,6,12,Yes,4,high,Single,2.0,3.0,10658,Touch,a,953.38
168,1572,0.2,157,1109,1937,2462,12,8,10,No,4,low,Single,,8.0,58436,LCD,none,1174.28
169,1569,0.3,110,45,1942,1260,9,2,17,No,3,high,Dual,17.0,20.0,44639,LCD,none,868.45
170,1270,0.5,101,299,845,3770,5,3,13,Yes,4,low,Dual,2.0,6.0,32401,Touch,none,724.94
171,1854,0.1,101,506,627,1886,17,4,20,No,4,high,Single,2.0,5.0,8406,Touch,none,1048.74
172,625,0.2,183,635,842,3323,9,1,7,Yes,4,medium,Dual,5.0,8.0,9998,Touch,b,799.78
173,1577,0.3,197,1045,1737,2060,19,6,12,No,4,low,Dual,,4.0,42321,LCD,none,1262.35
174,534,1.0,189,393,1199,3926,16,12,20,No,4,low,Dual,,1.0,16869,LCD,none,1112.43
175,946,0.8,143,650,1740,2177,7,5,13,No,4,medium,Dual,8.0,15.0,25141,Touch,a,913.87
176,685,0.8,93,433,648,728,14,8,4,No,2,low,Single,2.0,10.0,29528,LCD,b,486.45
177,1949,0.1,101,839,1136,2478,14,8,20,No,3,medium,Dual,,1.0,23866,LCD,none,1115.97
178,947,0.1,197,1176,1220,2842,16,12,2,No,4,low,Dual,,13.0,22597,LCD,none,973.85
179,801,0.4,165,650,879,1617,17,4,19,Yes,2,medium,Dual,2.0,4.0,63311,LCD,b,541.76
180,703,0.3,113,218,1065,1472,14,7,7,Yes,4,high,Single,12.0,20.0,30453,LCD,none,756.55
181,1165,0.2,178,564,831,764,19,12,15,Yes,3,high,Single,11.0,12.0,41429,LCD,none,561.48
182,1082,0.1,198,986,1191,2337,6,1,17,No,2,low,Single,,5.0,38753,Touch,b,809.44
183,959,1.0,84,561,1631,3965,16,1,6,Yes,3,high,Dual,15.0,19.0,20623,LCD,none,952.92
184,1502,0.2,138,65,588,3693,17,14,16,Yes,3,medium,Single,,12.0,54380,Touch,none,1239.64
185,1380,0.8,92,420,500,797,13,2,15,Yes,4,medium,Dual,1.0,13.0,4892,Touch,none,673.75
186,1266,0.1,95,1365,1698,1687,11,0,18,No,4,low,Single,,9.0,5768,LCD,none,1064.36
187,1934,0.1,103,619,1299,2940,13,9,2,Yes,4,high,Dual,,17.0,46525,Touch,n,1371.13
188,1905,0.5,151,849,898,1545,9,5,10,Yes,4,low,Single,3.0,5.0,6698,Touch,none,1116.39
189,1831,0.9,150,611,1381,3834,17,7,13,No,3,medium,Dual,2.0,5.0,43589,Touch,b,975.57
190,596,0.6,165,953,984,2505,15,4,15,No,3,medium,Single,8.0,18.0,46532,Touch,none,796.63
191,1562,0.2,190,642,1533,2243,12,10,6,Yes,4,medium,Dual,1.0,15.0,7577,LCD,none,1097.02
192,1490,0.3,150,1417,1464,3600,17,9,7,Yes,4,low,Dual,4.0,8.0,64482,Touch,g,1323.51
193,1523,0.2,117,247,539,3971,18,12,10,Yes,4,high,Single,5.0,6.0,57266,Touch,n,1461.74
194,640,0.1,163,710,1179,2844,7,5,18,No,3,low,Single,,15.0,20327,Touch,none,763.65
195,1526,0.2,117,718,751,2227,18,10,3,No,4,medium,Single,1.0,8.0,23573,Touch,none,1033.71
196,1989,0.8,94,1100,1497,1665,17,9,12,No,4,high,Dual,,13.0,41458,Touch,n,814.09
197,1308,0.7,106,59,1215,3355,15,2,4,No,4,medium,Single,,7.0,61490,LCD,a,845.04
198,609,0.3,93,938,1948,1866,11,10,14,No,3,low,Single,3.0,4.0,26495,Touch,a,928.83
199,1905,0.4,119,825,1542,1287,13,4,16,No,4,low,Dual,9.0,20.0,36820,LCD,none,864.78
200,1703,0.6,192,286,1235,1046,5,4,13,Yes,4,low,Single,,,22411,LCD,a,901.3
201,1445,0.4,173,1273,1345,1441,7,4,13,Yes,4,high,Dual,7.0,15.0,20289,Touch,g,969.12
202,1087,0.3,166,295,589,690,14,6,6,No,4,medium,Single,,9.0,16637,LCD,g,794.06
203,671,0.7,105,852,1182,2504,6,4,15,No,3,low,Dual,10.0,17.0,30299,LCD,none,905.85
204,1472,0.1,168,710,1052,2677,19,15,8,Yes,3,high,Single,6.0,19.0,61308,LCD,none,869.54
205,765,0.3,115,1277,1429,2243,11,7,4,No,4,low,Dual,,1.0,47801,LCD,n,1144.52
206,1642,0.3,171,129,873,2984,13,4,17,No,4,low,Dual,16.0,17.0,8682,LCD,b,872.74
207,1265,0.7,182,690,836,1362,5,0,12,No,2,medium,Single,7.0,16.0,49525,LCD,b,664.25
208,664,0.1,110,701,1478,3629,19,15,6,Yes,4,medium,Dual,1.0,4.0,51142,Touch,n,1254.27
209,1277,0.4,142,309,1460,3559,18,17,6,Yes,4,low,Dual,,6.0,35554,Touch,none,878.1
210,1395,0.1,111,213,705,2571,11,0,13,No,3,medium,Dual,,1.0,23857,LCD,g,1163.51
211,1539,0.1,159,1112,1666,2107,15,9,10,Yes,3,high,Single,,,41283,LCD,a,898.42
212,1049,0.5,135,199,1077,1022,11,3,13,Yes,2,medium,Single,9.0,17.0,63316,LCD,none,438.82
213,1827,0.5,128,55,1020,2844,14,9,10,No,4,medium,Single,4.0,16.0,39405,Touch,none,1261.25
214,903,0.4,91,1230,1235,711,9,5,10,No,4,medium,Dual,,,50684,Touch,none,780.46
215,1987,1.0,181,1052,1516,3117,18,5,8,Yes,4,low,Single,3.0,7.0,53613,Touch,g,1228.26
216,1154,0.2,181,541,1499,978,5,3,7,No,4,medium,Dual,,2.0,49762,LCD,n,844.89
217,1336,0.2,194,55,583,1869,13,1,16,No,4,low,Single,5.0,9.0,17657,Touch,n,867.59
218,1886,0.4,112,809,1958,1179,16,7,20,No,4,low,Single,,1.0,25003,LCD,g,864.43
219,1551,0.1,88,1738,1995,3844,11,8,4,No,2,medium,Single,4.0,6.0,50916,Touch,none,1014.9
220,850,0.5,133,404,642,593,19,17,10,Yes,4,medium,Dual,6.0,19.0,29811,LCD,b,669.67
221,660,0.5,111,262,1178,588,6,5,18,No,4,low,Single,5.0,10.0,40313,Touch,b,569.87
222,1225,0.5,116,759,1404,3836,12,11,11,Yes,2,medium,Dual,8.0,12.0,13486,LCD,none,774.95
223,1452,0.9,123,42,1040,2669,12,10,13,Yes,4,low,Dual,1.0,11.0,25285,LCD,none,1282.76
224,1686,0.1,166,397,1453,2958,14,11,2,Yes,2,high,Dual,3.0,4.0,38674,LCD,none,923.75
225,1634,0.2,200,964,1677,3031,11,6,6,Yes,4,medium,Single,1.0,5.0,17673,Touch,a,1394.41
226,1708,0.1,109,233,517,3388,6,4,16,Yes,4,high,Dual,18.0,19.0,49316,Touch,n,1239.92
227,1151,0.6,128,1022,1560,2377,18,8,13,Yes,2,high,Dual,,1.0,31668,Touch,none,830.46
228,1578,0.1,138,411,1226,2458,19,16,3,No,4,medium,Dual,2.0,19.0,37772,LCD,n,1222.36
229,1689,0.3,127,954,1200,2766,7,2,7,No,2,medium,Single,17.0,18.0,24634,Touch,g,744.27
230,1488,0.8,112,1528,1647,3054,14,10,19,No,2,low,Single,1.0,6.0,39420,LCD,none,1148.2
231,1313,0.4,105,416,1308,3791,11,10,6,Yes,2,medium,Dual,4.0,6.0,9677,Touch,g,853.7
232,1715,0.5,83,638,1615,625,17,6,13,No,4,medium,Dual,4.0,17.0,31576,LCD,none,990.8
233,1442,0.1,192,231,687,2227,6,5,20,No,3,medium,Dual,,19.0,27319,Touch,none,917.21
234,528,0.8,142,574,637,3256,9,8,6,No,4,medium,Single,12.0,15.0,6927,Touch,none,815.11
235,1523,0.1,129,148,1606,707,19,8,19,Yes,4,medium,Single,6.0,8.0,11437,Touch,none,701.1
236,1133,0.1,199,730,1543,1457,18,12,20,No,3,medium,Single,3.0,12.0,42330,LCD,a,849.71
237,1718,0.1,183,564,980,3755,7,1,8,Yes,4,high,Dual,14.0,16.0,6596,Touch,n,1208.12
238,1330,1.0,183,1290,1441,1733,9,0,11,No,3,low,Single,,1.0,38320,LCD,a,929.84
239,1799,0.4,107,632,1383,720,12,2,11,Yes,3,low,Single,,2.0,49399,Touch,n,911.72
240,633,0.1,139,529,1009,3560,11,1,16,Yes,4,medium,Single,,1.0,49096,Touch,n,728.79
241,724,0.5,187,1273,1754,2311,7,6,7,No,3,high,Dual,,,44525,LCD,none,877.83
242,822,0.3,157,667,860,3846,10,1,3,Yes,4,low,Single,,20.0,51660,LCD,none,1509.89
243,1918,0.6,110,1170,1543,1717,7,1,16,No,3,medium,Single,2.0,10.0,10244,Touch,a,1101.12
244,1891,0.4,129,169,1108,3704,8,6,11,No,4,high,Single,7.0,14.0,37399,LCD,none,1197.8
245,1373,0.2,127,105,673,3800,8,3,14,Yes,3,medium,Dual,2.0,12.0,50213,LCD,none,794.69
246,862,0.4,165,793,1758,278,16,3,11,Yes,2,low,Dual,3.0,15.0,23393,LCD,b,360.33
247,1273,0.4,99,490,886,1767,18,15,11,No,4,medium,Single,3.0,15.0,48842,Touch,none,759.55
